玉米,12501,3287
玉米,4691,16001
玉米,4567,15912
玉米,4707,15837
玉米,4726,15798
玉米,4903,15855
玉米,4881,15752
玉米,4819,15761
玉米,4517,16036
玉米,4234,17573
玉米,4436,16599
玉米,1852,16093
玉米,2325,16476
玉米,2108,16865
玉米,1394,16775
玉米,1256,16761
玉米,1011,16016
玉米,1597,15657
玉米,1460,14892
玉米,2260,15082
玉米,2221,15082
玉米,2184,14526
玉米,1470,13779
玉米,1224,13683
玉米,693,13692
玉米,1848,13516
玉米,2003,13593
玉米,1739,14076
玉米,1511,13988
玉米,1559,13995
玉米,9092,6641
玉米,9211,6367
玉米,9372,6301
玉米,9604,6672
玉米,10229,7589
玉米,8338,7279
玉米,8245,7246
玉米,8549,6433
玉米,14497,11391
玉米,14901,11656
玉米,14913,11377
玉米,14224,11426
玉米,14296,11470
玉米,14338,11211
玉米,14520,11056
玉米,15640,15389
玉米,15623,15344
玉米,15334,14917
玉米,15684,15429
玉米,15562,15415
玉米,15376,15653
玉米,15854,14873
玉米,10720,13543
玉米,10721,13131
玉米,10774,12914
玉米,10717,12896
玉米,10462,12920
玉米,10281,12906
玉米,10130,13009
玉米,10085,13046
玉米,9756,13115
玉米,9697,13300
玉米,9866,13641
玉米,9852,13606
玉米,10217,13404
玉米,10051,13370
玉米,10141,13305
玉米,10151,13626
玉米,12229,17372
玉米,12286,17432
玉米,11967,17492
玉米,11920,17237
玉米,12261,17197
玉米,12413,17127
玉米,12457,17152
玉米,11904,16774
玉米,12204,16606
玉米,12394,16398
玉米,12147,16236
玉米,12141,16264
玉米,12416,16510
玉米,12437,16491
玉米,12092,16179
玉米,11456,16152
玉米,11422,16174
玉米,11417,16125
玉米,11258,16204
玉米,11047,16122
玉米,11113,16067
玉米,10876,15872
玉米,10499,15942
玉米,10602,16071
玉米,10580,16048
玉米,11148,15337
玉米,10961,15263
玉米,10880,15204
玉米,10799,15284
玉米,11259,15174
玉米,11248,15138
玉米,10894,14870
玉米,10921,14820
玉米,10990,14773
玉米,10825,14917
玉米,10702,15143
玉米,10761,15192
玉米,10598,14805
玉米,10580,14816
玉米,10422,15064
玉米,10456,15155
玉米,10765,14270
玉米,11224,13914
玉米,11395,13820
玉米,11262,13649
玉米,11232,13625
玉米,11341,13496
玉米,11303,13546
玉米,11074,13398
玉米,6994,14255
玉米,6913,14021
玉米,6709,13720
玉米,6621,13705
玉米,6404,13739
玉米,6083,14185
玉米,6027,13983
玉米,5807,14359
玉米,5795,14796
玉米,5560,14734
玉米,5749,15002
玉米,5951,15175
玉米,6055,15004
玉米,5403,14901
玉米,5201,14924
玉米,5232,15416
玉米,4208,15417
玉米,3807,15496
玉米,3896,15196
玉米,3922,15022
玉米,4303,15732
玉米,3030,14630
玉米,3813,14372
玉米,3624,14358
玉米,3819,14478
玉米,3737,15319
玉米,2634,15292
玉米,2964,15562
玉米,3038,15834
玉米,5563,10985
玉米,6149,11127
玉米,5914,10605
玉米,5539,10901
玉米,5475,10890
玉米,6276,10289
玉米,6471,10078
玉米,6472,10419
玉米,6634,9343
玉米,6589,9302
玉米,6702,9332
玉米,6699,9405
玉米,6790,9975
玉米,9570,8364
玉米,9403,8018
玉米,8000,9029
玉米,9319,9299
玉米,10095,10960
玉米,7499,7554
玉米,7518,7633
玉米,6844,7640
玉米,6838,7919
玉米,7098,8127
玉米,6726,8301
玉米,6992,8623
玉米,6362,8658
玉米,6605,9021
玉米,12704,6859
玉米,12575,6658
玉米,12420,6550
玉米,12345,6562
玉米,11828,6711
玉米,12286,5754
玉米,12304,5662
玉米,12642,5670
玉米,13148,7020
玉米,12027,6727
玉米,12094,7278
玉米,12253,7407
玉米,12317,7356
玉米,12119,7796
玉米,11979,7788
玉米,11480,7525
玉米,11389,7222
玉米,11606,7125
玉米,11791,7069
玉米,11022,7234
玉米,10697,7371
玉米,10661,7306
