FileName,type,label
00003a3f2faf4f6fb3aedf0188204487.jpg,6,结冰
0002c9161fb04a518198056ccd25c799.jpg,6,结冰
0002cf917ab24bfdb79330877dc664e4.jpg,8,降雪
0007163a879b41e3a92571e8b3b7dc0d.jpg,1,雨凇
00117fc15033431395de297ee6c215c5.jpg,3,雾霾
00278f56a2654074bc772a77b05f64fc.jpg,8,降雪
0029d9039a544de497a6e890959d9f3f.jpg,6,结冰
002d2aae0a1c4f9bb29bce667ab4b05d.jpeg,7,降雨
0042e4f78260482893d253fd83a11faa.jpg,2,雾凇
004b4cc2678242f08c5eccb2ec06066a.jpg,8,降雪
004c3e9274184aa7a0ceb580d791608d.jpg,4,霜
004f607399fe4ecea4f251a2bea71ce6.jpg,5,露
005d25760e894364996862a2a6ea8951.jpg,8,降雪
006b82bdae874259ab7d4b94b8c8a643.jpg,2,雾凇
008cba88ed1e4342b5d657888c650acd.jpg,8,降雪
00a79596d5b8486d8e354a18f283d1ee.jpg,4,霜
00bf906eee7546fe9bb32ef5807ed8ea.jpg,2,雾凇
00c16e5362e64c0aaa8ea0fe8a4b48ad.jpg,8,降雪
00c6f951a4b8489797279e31b3ec311a.jpeg,9,冰雹
00c8f2b34b514226a9cdecc3ea6b32ad.jpg,3,雾霾
00d3c6d6c02f4f66ba787c1f61b227db.jpg,3,雾霾
00d454435c044128a039077414a492cc.jpeg,3,雾霾
00e80af0c2064abc9fd0da42628419a2.jpg,9,冰雹
0110d9257d4c4932815e561a462d2429.jpg,3,雾霾
012ff5b434b14a4c9d95de4386b049b9.jpg,2,雾凇
013566f43f59410b90ec7f7acd04c8a7.jpg,8,降雪
0142551510ca4331806eb51b6c18dc4b.jpg,7,降雨
0144c5ac9b2e475da230bce99ccd8c8e.jpg,6,结冰
0148eab239ce42caa246177069aaf7a4.jpeg,5,露
0149eac81580480397fecd652196ab52.jpg,3,雾霾
01526b64531d4609b873103c8ffe3db8.png,3,雾霾
015b2f2f693e4c3597545d4175d973bf.jpeg,6,结冰
0161e7a5ceeb4fe5b85d885eae636b89.jpg,3,雾霾
01665a2a185f4a0f9b67fbfe26aff34d.jpeg,2,雾凇
016b328c4f2e4537bc08cb74434d2580.jpg,2,雾凇
01839d4f8d824770bf4e022e1fe0aa68.jpeg,1,雨凇
018a5292ca0a42ada53d55ecf409b0c2.jpg,6,结冰
018b05701c2c4b47a34c4fe9e72c1131.jpg,8,降雪
01910312f55e49e99da8903fbedbff78.jpeg,1,雨凇
